[23:07:15][E][game_concepts.cpp:208]: Trying to add a Game Concept or Alias 'dominant' from concept 'dominant_family' that collides with an existing concept or alias 'dominant', this is not allowed
[23:08:36][E][eventmanager.cpp:237]: Event #ep3_laamp_decision_event.1030 has no options in events/dlc/ep3/OVERRIDE_ep3_laamp_decision_events.txt
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142336
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142336
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142336
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142336
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142184
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142184
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142184
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142441
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142446
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142446
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142446
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿175120
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿175120
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿175120
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿74411
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿74411
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿74411
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142259
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142259
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142259
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿159735
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿159735
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:﻿159735
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142257
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142257
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142257
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142616
[23:08:51][E][history.cpp:644]: Referencing non-existent character in script link character:142650
